Subject,Virgins,Non-virgins
Biology,358,215
Business management,192,95
Chemistry,439,214
Computer science,138,50
Dance,3,4
Design technology,24,9
ES&S,93,54
Economics,318,156
Geography,88,61
Global politics,46,37
History,244,161
ITGS,23,8
Language A: language and literature,647,352
Language A: literature,338,190
Language B,605,324
Language ab inito,208,111
Latin or Classical Greek,12,12
Literature and performance,3,2
Mathematics: analysis and approaches,639,324
Mathematics: applications and interpretation,257,166
Music,30,17
Philosophy,20,25
Physics,427,197
Psychology,175,121
Social and cultural anthropology,14,11
"Sports, exercise and health science",9,14
Theatre,23,12
Visual Arts,73,35
World religions,7,4
